id,date,year,gender,transfer,mental_health,social_distancing,drag_50,sexist_comment,support_eating,stop_svsh,receive_info,social_media_year,asian,black,latino,native hawaiian or pacific islander,white,other:,prefer not to answer,undergrad_student,1st_year,2nd_year,3rd_year,4th_year,5th_year_plus,bachelor_degree,no_college,some_college,read_daily,read_less_weekly,read_daily_more,read_weekly,write_daily,write_less_weekly,write_more_daily,write_weekly,outcome,treatment,recall
R_73ZIdPS4iLWO0fv,2021-04-07 18:38:10,1970,0,1,40,15,50,60,35,80,0,upperclassmen_control,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,11,0,1
R_2R4G7Ims8ORpifG,2021-04-07 19:08:51,2001,0,0,90,25,50,65,80,95,0,underclassmen_treatment,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,4,1,1
R_1LpABwLp1oCDzxI,2021-04-07 17:43:16,2002,0,0,50,10,50,30,29,81,0,underclassmen_control,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,0,1
R_2WuQQPpSFui4PkM,2021-04-07 19:47:39,2002,1,0,92,30,50,79,92,91,11,underclassmen_treatment,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
R_yklRfhpPsD6xc9r,2021-04-07 19:42:44,2001,0,0,98,88,50,70,80,91,11,underclassmen_treatment,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
R_22n46JJfqTQ4e79,2021-04-07 19:48:50,1998,1,0,70,35,50,50,75,25,0,upperclassmen_control,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,66,0,1
R_1K7S6sXoiV8Sg39,2021-04-07 17:58:21,"Mumbai, India",1,0,60,60,50,75,90,66,11,underclassmen_treatment,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,25,1,0
R_330XHwja945dTTr,2021-04-07 18:01:30,1999,1,1,82,67,50,70,87,84,0,underclassmen_control,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,7,0,1
R_1juCoeLvUPAIcvK,2021-04-07 19:42:55,1999,0,1,80,60,50,82,70,95,0,upperclassmen_control,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,4,0,1
R_3CHiaUqjaMnRLPj,2021-04-07 20:13:43,1998,1,0,71,49,50,76,91,84,0,upperclassmen_control,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,7,0,1
R_RVKsSBP2Hcu9g9H,2021-04-07 19:57:20,1998,1,0,81,82,50,50,50,71,0,upperclassmen_treatment,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,20,1,1
R_2xQQgHoESEI1qhq,2021-04-07 19:48:33,2000,1,0,91,91,50,91,92,90,11,upperclassmen_treatment,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1
R_2fDvNhhNcZsR2s8,2021-04-07 20:26:40,1999,1,0,70,40,50,72,69,69,11,upperclassmen_treatment,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,22,1,0
R_2fBYia1KP4bbvHw,2021-04-07 17:52:40,2002,1,0,81,49,50,85,74,90,0,underclassmen_control,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
R_2X4l5LRW7SNsoTE,2021-04-07 20:20:36,2001,1,0,60,16,50,51,20,20,0,underclassmen_control,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,71,0,1
R_OrtkqAxVpv2TYSB,2021-04-07 19:28:06,2001,1,0,6,40,50,61,72,50,0,underclassmen_treatment,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,41,1,1
R_OfJlXcXkwHttJC1,2021-04-07 20:40:44,1999,1,0,100,29,50,71,94,87,0,upperclassmen_control,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,4,0,1
R_3HUeHFV9TDybCKt,2021-04-07 17:45:19,2001,0,0,85,25,50,60,70,91,0,underclassmen_treatment,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
R_2ALMViZlm0IsrMK,2021-04-07 21:01:16,2001,1,0,55,34,50,72,66,84,0,underclassmen_control,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,7,0,1
R_2VdOyXEFYbbgwEL,2021-04-07 18:42:30,2001,1,0,100,41,50,61,91,86,11,underclassmen_control,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,5,0,1
R_Bx3hhFvBdZ6I5hv,2021-04-07 20:41:07,2001,1,1,92,80,50,93,92,94,0,underclassmen_treatment,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,1,1
R_1od640c7QuyZkqH,2021-04-07 21:14:12,2000,1,0,91,81,50,80,77,79,0,upperclassmen_control,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,12,0,1
R_2Sjdhnx1zXJpCTn,2021-04-07 19:56:23,1999,1,0,74,9,50,15,64,61,0,upperclassmen_control,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,30,0,1
R_2RWeTsMt53Wj6Gb,2021-04-07 18:43:40,1999,1,1,71,85,50,85,100,85,0,underclassmen_control,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,6,0,1
R_1SoQt84fMDFIhyx,2021-04-07 21:20:30,2000,1,0,58,19,50,40,30,82,0,upperclassmen_treatment,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,9,1,1
R_2robMD3XXX9D2Bu,2021-04-07 18:06:49,1999,1,0,81,36,50,60,55,80,0,upperclassmen_treatment,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,11,1,1
R_2eWDqK2T8VPzvnV,2021-04-07 10:59:15,2002,1,0,70,60,50,55,40,70,11,underclassmen_control,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,21,0,0
